Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides shControl_CTRL_bR1	Peptides shControl_CTRL_bR2	Peptides shControl_CTRL_bR3	Peptides shControl_EGF_bR1	Peptides shControl_EGF_bR2	Peptides shControl_EGF_bR3	Peptides shTMEM_CTRL_bR1	Peptides shTMEM_CTRL_bR2	Peptides shTMEM_CTRL_bR3	Peptides shTMEM_EGF_bR1	Peptides shTMEM_EGF_bR2	Peptides shTMEM_EGF_bR3	Razor + unique peptides shControl_CTRL_bR1	Razor + unique peptides shControl_CTRL_bR2	Razor + unique peptides shControl_CTRL_bR3	Razor + unique peptides shControl_EGF_bR1	Razor + unique peptides shControl_EGF_bR2	Razor + unique peptides shControl_EGF_bR3	Razor + unique peptides shTMEM_CTRL_bR1	Razor + unique peptides shTMEM_CTRL_bR2	Razor + unique peptides shTMEM_CTRL_bR3	Razor + unique peptides shTMEM_EGF_bR1	Razor + unique peptides shTMEM_EGF_bR2	Razor + unique peptides shTMEM_EGF_bR3	Unique peptides shControl_CTRL_bR1	Unique peptides shControl_CTRL_bR2	Unique peptides shControl_CTRL_bR3	Unique peptides shControl_EGF_bR1	Unique peptides shControl_EGF_bR2	Unique peptides shControl_EGF_bR3	Unique peptides shTMEM_CTRL_bR1	Unique peptides shTMEM_CTRL_bR2	Unique peptides shTMEM_CTRL_bR3	Unique peptides shTMEM_EGF_bR1	Unique peptides shTMEM_EGF_bR2	Unique peptides shTMEM_EGF_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type shControl_CTRL_bR1	Identification type shControl_CTRL_bR2	Identification type shControl_CTRL_bR3	Identification type shControl_EGF_bR1	Identification type shControl_EGF_bR2	Identification type shControl_EGF_bR3	Identification type shTMEM_CTRL_bR1	Identification type shTMEM_CTRL_bR2	Identification type shTMEM_CTRL_bR3	Identification type shTMEM_EGF_bR1	Identification type shTMEM_EGF_bR2	Identification type shTMEM_EGF_bR3	Sequence coverage shControl_CTRL_bR1 [%]	Sequence coverage shControl_CTRL_bR2 [%]	Sequence coverage shControl_CTRL_bR3 [%]	Sequence coverage shControl_EGF_bR1 [%]	Sequence coverage shControl_EGF_bR2 [%]	Sequence coverage shControl_EGF_bR3 [%]	Sequence coverage shTMEM_CTRL_bR1 [%]	Sequence coverage shTMEM_CTRL_bR2 [%]	Sequence coverage shTMEM_CTRL_bR3 [%]	Sequence coverage shTMEM_EGF_bR1 [%]	Sequence coverage shTMEM_EGF_bR2 [%]	Sequence coverage shTMEM_EGF_bR3 [%]	Intensity	Intensity shControl_CTRL_bR1	Intensity shControl_CTRL_bR2	Intensity shControl_CTRL_bR3	Intensity shControl_EGF_bR1	Intensity shControl_EGF_bR2	Intensity shControl_EGF_bR3	Intensity shTMEM_CTRL_bR1	Intensity shTMEM_CTRL_bR2	Intensity shTMEM_CTRL_bR3	Intensity shTMEM_EGF_bR1	Intensity shTMEM_EGF_bR2	Intensity shTMEM_EGF_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
Q14697	Q14697	14	14	14	Neutral alpha-glucosidase AB	GANAB	>sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3	1	14	14	14	5	2	9	1	7	12	3	10	11	4	1	11	5	2	9	1	7	12	3	10	11	4	1	11	5	2	9	1	7	12	3	10	11	4	1	11	21.1	21.1	21.1	106.87	944	944	0	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	7.7	2.2	13.2	1.8	10.6	19.2	5.5	14.4	16.7	6.2	0.7	16.7	135940000	2174800	555840	35824000	72585	4704600	45592000	984190	21832000	10025000	1722100	83518	12373000	30				1504	271;2515;2898;3446;4079;5696;6072;6450;7227;8319;11160;11186;11243;11564	True;True;True;True;True;True;True;True;True;True;True;True;True;True	310;2827;3252;3850;4575;6401;6882;7329;8193;9468;12686;12715;12776;13119	2490;2491;2492;2493;2494;2495;2496;2497;2498;2499;21636;21637;21638;21639;21640;21641;24952;24953;24954;24955;24956;29235;34401;34402;34403;34404;34405;34406;34407;34408;34409;34410;48405;48406;48407;48408;52022;52023;52024;52025;55111;55112;60769;71336;71337;71338;71339;71340;97359;97360;97361;97362;97363;97364;97365;97366;97367;97563;97564;97565;97566;98072;98073;98074;98075;98076;98077;98078;98079;98080;98081;100503;100504;100505;100506;100507	1660;15146;15147;15148;17416;20322;24441;34329;34330;34331;34332;36586;36587;36588;38405;38406;42557;50564;68675;68676;68782;69225;69226;69227;69228;69229;70693;70694;70695;70696	1660;15146;17416;20322;24441;34329;36587;38406;42557;50564;68676;68782;69225;70694				
Q14738	Q14738	1	1	1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	PPP2R5D	>sp|Q14738|2A5D_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens OX=9606 GN=PPP2R5D PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2.2	2.2	2.2	69.991	602	602	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	2.2	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1505	7468	True	8475	63159;63160	44269;44270;44271;44272	44270		3471		573
Q14739	Q14739	2	2	2	Lamin-B receptor	LBR	>sp|Q14739|LBR_HUMAN Lamin-B receptor OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2	1	2	2	2	0	2	1	0	2	2	1	2	1	1	0	2	0	2	1	0	2	2	1	2	1	1	0	2	0	2	1	0	2	2	1	2	1	1	0	2	2	2	2	70.702	615	615	0	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	2	2	0	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1506	7726;7962	True;True	8772;9047	65516;65517;65518;65519;65520;65521;65522;65523;65524;65525;65526;65527;65528;67788;67789;67790;67791;67792	46275;46276;47823;47824;47825	46275;47824		3472;3473		97;99
Q14764	Q14764	22	22	22	Major vault protein	MVP	>sp|Q14764|MVP_HUMAN Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4	1	22	22	22	14	2	15	6	9	17	10	20	15	12	13	16	14	2	15	6	9	17	10	20	15	12	13	16	14	2	15	6	9	17	10	20	15	12	13	16	31.8	31.8	31.8	99.326	893	893	0	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.5	4.8	23.4	8.2	13.2	27	15.1	28.6	24.4	17.9	18.5	25.2	325730000	5218500	453130	91577000	284950	6603500	97922000	2031000	66210000	17092000	4772300	5576600	27990000	53				1507	603;773;993;1451;1494;1660;2335;2369;2393;3814;4140;4289;4371;5043;5239;5484;6832;7857;8680;9699;10560;10718	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	688;880;1133;1645;1691;1881;2625;2660;2685;4274;4643;4811;4904;5667;5880;6157;7746;8921;8922;9882;11063;12026;12027;12204	5466;5467;5468;5469;5470;5471;5472;6873;6874;6875;6876;6877;8969;8970;8971;8972;8973;8974;8975;8976;12863;12864;12865;12866;12867;12868;13224;13225;13226;13227;13228;13229;13230;13231;13232;13233;14704;14705;14706;14707;14708;14709;14710;14711;14712;20189;20190;20191;20192;20193;20194;20195;20196;20438;20439;20440;20441;20442;20585;20586;20587;20588;20589;20590;20591;20592;20593;20594;32401;32402;32403;34967;34968;34969;34970;34971;34972;34973;34974;34975;34976;34977;36217;36218;36219;36220;36221;36898;36899;36900;36901;42942;42943;42944;42945;42946;42947;42948;44618;44619;44620;44621;44622;44623;44624;46608;46609;58035;58036;58037;58038;58039;58040;66738;66739;66740;66741;66742;66743;66744;66745;66746;66747;66748;66749;66750;66751;74563;74564;84354;84355;84356;84357;84358;84359;84360;84361;84362;84363;84364;92495;92496;92497;92498;92499;92500;92501;92502;92503;92504;92505;92506;92507;92508;92509;92510;92511;92512;92513;93853;93854;93855;93856;93857;93858;93859	3748;4785;6304;6305;9616;9617;9840;9841;9842;9843;9844;9845;10716;10717;10718;14285;14286;14412;14413;14479;14480;14481;14482;14483;14484;22773;24819;24820;24821;24822;25593;25986;25987;25988;30419;30420;30421;30422;31723;31724;31725;31726;31727;33062;40392;40393;40394;47045;47046;47047;47048;47049;47050;47051;47052;47053;47054;47055;47056;52758;52759;59499;59500;59501;59502;59503;59504;65535;65536;65537;65538;65539;65540;66322;66323	3748;4785;6304;9617;9843;10717;14285;14413;14482;22773;24819;25593;25986;30421;31723;33062;40393;47047;52759;59501;65535;66323		3474;3475;3476		864;873;876
Q14790	Q14790	1	1	1	Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10	CASP8	>sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	2.3	2.3	2.3	55.391	479	479	0.00034471	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	2.3	0	0	2.3	0	2.3	2.3	0	0	2.3	0	0	3583900	1306600	0	0	921040	0	112720	916870	0	0	326680	0	0	3				1508	2521	True	2834	21681;21682;21683;21684;21685	15158;15159;15160	15158				
Q147X3	Q147X3	2	2	2	N-alpha-acetyltransferase 30	NAA30	>sp|Q147X3|NAA30_HUMAN N-alpha-acetyltransferase 30 OS=Homo sapiens OX=9606 GN=NAA30 PE=1 SV=1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	0	0	1	1	1	1	2	1	1	1	2	1	0	0	1	1	1	1	2	1	1	1	2	1	0	0	10.5	10.5	10.5	39.319	362	362	0	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	5	5	5.5	5	10.5	5.5	5	5.5	10.5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1509	1196;5499	True;True	1365;6175	10831;10832;10833;10834;10835;10836;46707;46708;46709;46710;46711;46712;46713	8270;8271;8272;8273;33113	8270;33113		3477;3478		89;199
Q14807	Q14807	1	1	1	Kinesin-like protein KIF22	KIF22	>sp|Q14807|KIF22_HUMAN Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2.7	2.7	2.7	73.261	665	665	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	2.7	0	0	2.7	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1510	5410	True	6071	45949;45950;45951	32576;32577	32577		9526		463
Q14814	Q14814	6	6	6	Myocyte-specific enhancer factor 2D	MEF2D	>sp|Q14814|MEF2D_HUMAN Myocyte-specific enhancer factor 2D OS=Homo sapiens OX=9606 GN=MEF2D PE=1 SV=1	1	6	6	6	3	3	2	3	5	3	3	4	2	3	4	3	3	3	2	3	5	3	3	4	2	3	4	3	3	3	2	3	5	3	3	4	2	3	4	3	18	18	18	55.937	521	521	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	9.2	9.2	6.9	9.2	13.2	9.8	9.2	11.1	6	9.2	13.1	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1511	904;3267;5495;7260;8168;10842	True;True;True;True;True;True	1032;3656;6171;8232;9285;12334	8181;8182;8183;8184;8185;8186;8187;8188;27855;27856;27857;46674;46675;46676;46677;46678;46679;46680;46681;46682;46683;61062;61063;69706;69707;69708;69709;69710;94787;94788;94789;94790;94791;94792;94793;94794;94795;94796;94797;94798	5802;19372;19373;33098;33099;33100;33101;33102;33103;42746;42747;42748;49186;49187;66979;66980;66981;66982;66983	5802;19372;33101;42748;49186;66980		3479;3480;3481;3482;3483;3484		98;121;180;231;251;444
Q14839	Q14839	3	3	3	Chromodomain-helicase-DNA-binding protein 4	CHD4	>sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2	1	3	3	3	3	1	1	3	1	1	2	1	1	2	1	1	3	1	1	3	1	1	2	1	1	2	1	1	3	1	1	3	1	1	2	1	1	2	1	1	2	2	2	218	1912	1912	0	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	2	0.5	0.5	2	0.5	0.5	1.4	0.5	0.5	1.4	0.5	0.5	5308300	3905700	0	0	593830	0	0	673620	0	0	135200	0	0	3				1512	4131;4862;6122	True;True;True	4633;5463;6958;6959	34914;34915;34916;34917;41440;41441;52548;52549;52550;52551;52552;52553;52554;52555;52556;52557;52558;52559;52560;52561;52562	24789;24790;29324;36863;36864;36865	24789;29324;36864	382	3485	1530	1535
Q14847	Q14847	10	10	10	LIM and SH3 domain protein 1	LASP1	>sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2	1	10	10	10	5	2	7	4	6	8	3	9	8	6	6	8	5	2	7	4	6	8	3	9	8	6	6	8	5	2	7	4	6	8	3	9	8	6	6	8	34.9	34.9	34.9	29.717	261	261	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18	13.8	31.4	8.8	25.7	31.4	14.6	34.9	31.4	20.7	26.4	34.9	54892000	8326900	0	7384600	9322700	1235200	7547500	1535800	10539000	2049600	3363200	370320	3217400	14				1513	3275;4515;6029;6030;6031;7107;7143;7314;9867;10214	True;True;True;True;True;True;True;True;True;True	3665;5068;6815;6816;6817;6818;6819;6820;8058;8096;8097;8098;8295;11246;11638	27910;27911;27912;27913;27914;27915;27916;27917;27918;27919;38135;38136;38137;38138;38139;38140;38141;51457;51458;51459;51460;51461;51462;51463;51464;51465;51466;51467;51468;51469;51470;51471;51472;51473;51474;51475;51476;51477;51478;51479;51480;51481;51482;51483;51484;51485;51486;51487;51488;51489;51490;51491;51492;51493;51494;51495;51496;51497;51498;51499;51500;51501;51502;51503;51504;51505;51506;51507;51508;51509;51510;51511;51512;51513;51514;51515;51516;51517;51518;51519;51520;51521;51522;51523;51524;51525;51526;51527;51528;51529;51530;51531;51532;51533;51534;51535;51536;51537;51538;51539;59935;59936;59937;59938;59939;59940;60195;60196;60197;60198;60199;60200;60201;60202;60203;61633;61634;61635;61636;61637;85812;85813;85814;85815;85816;85817;85818;85819;85820;89090;89091;89092;89093;89094;89095	19399;19400;19401;19402;19403;19404;19405;19406;19407;19408;19409;19410;19411;19412;19413;19414;26732;36224;36225;36226;36227;36228;36229;36230;36231;36232;36233;36234;36235;36236;36237;36238;36239;36240;36241;36242;36243;36244;36245;36246;36247;36248;36249;36250;36251;36252;36253;36254;36255;36256;36257;36258;36259;36260;36261;36262;36263;36264;36265;36266;36267;36268;36269;36270;36271;36272;36273;36274;36275;36276;36277;36278;36279;36280;36281;41936;42151;42152;42153;42154;42155;42156;42157;42158;42159;43193;43194;60660;60661;63020	19404;26732;36225;36230;36238;41936;42158;43193;60660;63020	383;384;385	3486;3487;3488;9527;9528;9529	64;131;139	63;68;99;104;134;146
Q14865	Q14865	1	1	1	AT-rich interactive domain-containing protein 5B	ARID5B	>sp|Q14865|ARI5B_HUMAN AT-rich interactive domain-containing protein 5B OS=Homo sapiens OX=9606 GN=ARID5B PE=1 SV=3	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0.7	0.7	0.7	132.37	1188	1188	1	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	0	0.7	0	0.7	0.7	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			1514	7301	True	8282	61531;61532;61533;61534	43128	43128		3489		264
Q14966	Q14966	5	5	5	Zinc finger protein 638	ZNF638	>sp|Q14966|ZN638_HUMAN Zinc finger protein 638 OS=Homo sapiens OX=9606 GN=ZNF638 PE=1 SV=2	1	5	5	5	2	3	1	1	4	4	1	4	3	1	4	2	2	3	1	1	4	4	1	4	3	1	4	2	2	3	1	1	4	4	1	4	3	1	4	2	2.7	2.7	2.7	220.62	1978	1978	0	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	1	1.8	0.5	0.6	2.3	2.2	0.4	1.9	1.7	0.4	2.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1515	1064;1157;3900;6451;9158	True;True;True;True;True	1220;1323;4373;7330;10430	9645;9646;9647;9648;9649;9650;9651;10416;10417;10418;10419;32985;32986;32987;32988;32989;55113;55114;55115;55116;55117;55118;79201;79202;79203;79204;79205;79206;79207;79208;79209;79210	6702;7248;7249;23262;38407;38408;55967;55968;55969;55970;55971	6702;7249;23262;38408;55967		3490;3491;3492;3493;3494;3495;3496		508;510;552;558;560;605;1401
Q14974	Q14974	3	3	3	Importin subunit beta-1	KPNB1	>sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	1	3	3	3	0	1	2	0	1	3	0	1	3	0	0	3	0	1	2	0	1	3	0	1	3	0	0	3	0	1	2	0	1	3	0	1	3	0	0	3	4.6	4.6	4.6	97.169	876	876	0	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	0	1	3.5	0	1	4.6	0	1	4.6	0	0	4.6	13594000	0	63195	4746200	0	338890	4848600	0	1254300	1057400	0	0	1285700	3				1516	1776;2622;3170	True;True;True	2013;2950;3546	15755;15756;15757;15758;15759;15760;22713;22714;22715;22716;27044;27045;27046;27047	11473;15924;18640	11473;15924;18640				
Q14978	Q14978	7	7	7	Nucleolar and coiled-body phosphoprotein 1	NOLC1	>sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2	1	7	7	7	3	4	5	2	5	0	3	7	5	2	4	4	3	4	5	2	5	0	3	7	5	2	4	4	3	4	5	2	5	0	3	7	5	2	4	4	6.4	6.4	6.4	73.602	699	699	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	3.9	5.2	5.3	3.6	5.3	0	3.4	6.4	6.4	2.6	2.7	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1517	3333;3405;3666;7276;7277;10532;10533	True;True;True;True;True;True;True	3731;3807;4113;8251;8252;11995;11996	28385;28386;28387;28388;28389;28390;28391;28392;28909;28910;28911;28912;28913;28914;28915;28916;28917;31321;31322;31323;31324;31325;31326;31327;61243;61244;61245;61246;61247;61248;61249;61250;61251;61252;92271;92272;92273;92274;92275;92276;92277;92278;92279;92280;92281;92282;92283	19689;19690;19691;19692;19693;20086;20087;20088;20089;20090;22076;22077;22078;22079;22080;42895;42896;42897;65374;65375;65376;65377;65378	19689;20089;22078;42895;42896;65376;65378		3497;3498;3499;3500		538;623;643;698
Q14980	Q14980	15	15	15	Nuclear mitotic apparatus protein 1	NUMA1	>sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	1	15	15	15	3	6	9	5	5	9	5	14	8	6	7	13	3	6	9	5	5	9	5	14	8	6	7	13	3	6	9	5	5	9	5	14	8	6	7	13	10	10	10	238.26	2115	2115	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.8	4.2	6.2	4.1	4.6	7	3.8	8.5	6.4	5.2	5.2	9.8	11475000	0	0	2674500	0	0	4953100	0	1824600	445070	0	169660	1408600	3				1518	730;1014;2347;4579;4795;4878;5315;5475;7153;7154;7268;10226;10566;10668;11143	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	834;1158;2638;5140;5379;5484;5963;5964;6148;8109;8110;8241;8242;11652;12033;12144;12668	6539;6540;6541;6542;6543;6544;6545;6546;6547;6548;6549;6550;6551;6552;6553;6554;9181;9182;9183;9184;9185;9186;20271;20272;20273;20274;20275;20276;38698;38699;40662;40663;40664;40665;40666;40667;40668;41595;41596;41597;45208;45209;45210;45211;45212;45213;45214;45215;45216;45217;45218;45219;46571;46572;46573;46574;46575;60275;60276;60277;60278;60279;60280;60281;61175;61176;61177;61178;61179;61180;61181;61182;61183;61184;61185;61186;61187;61188;61189;61190;61191;61192;61193;89215;89216;89217;89218;89219;89220;89221;89222;89223;89224;89225;89226;89227;89228;89229;89230;89231;92550;93391;93392;93393;97232;97233;97234;97235;97236;97237;97238;97239;97240;97241;97242;97243;97244	4548;4549;4550;4551;4552;4553;4554;4555;4556;4557;4558;4559;4560;4561;4562;4563;4564;4565;4566;4567;4568;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;6447;14323;27090;28549;28550;28551;29451;29452;32085;32086;32087;32088;32089;32090;32091;32092;33045;42200;42201;42202;42203;42204;42836;42837;42838;42839;42840;42841;42842;42843;42844;63097;63098;63099;63100;63101;63102;63103;63104;63105;63106;63107;63108;63109;63110;63111;63112;63113;63114;63115;63116;63117;63118;63119;63120;63121;63122;63123;63124;63125;63126;63127;63128;63129;65554;66024;68598;68599;68600;68601;68602;68603;68604;68605	4559;6447;14323;27090;28551;29451;32085;33045;42200;42204;42839;63117;65554;66024;68603	386	3501;3502;3503;3504;3505;3506;3507;3508;9530;9531;9532;9533	1970	169;189;1225;1749;1750;1757;1862;1969;1991;2000;2015;2055
Q14993	Q14993	1	1	1	Collagen alpha-1(XIX) chain	COL19A1	>sp|Q14993|COJA1_HUMAN Collagen alpha-1(XIX) chain OS=Homo sapiens OX=9606 GN=COL19A1 PE=1 SV=3	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0.7	0.7	0.7	115.22	1142	1142	0.0079114	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	0	0.7	0	0	0.7	0.7	0	0.7	0.7	0	0.7	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1519	5307	True	5953	45136;45137;45138;45139;45140;45141;45142	32054;32055	32055		3509		81
Q14C86	Q14C86	5	5	5	GTPase-activating protein and VPS9 domain-containing protein 1	GAPVD1	>sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2	1	5	5	5	3	3	4	2	4	3	2	4	4	3	1	3	3	3	4	2	4	3	2	4	4	3	1	3	3	3	4	2	4	3	2	4	4	3	1	3	5.5	5.5	5.5	164.98	1478	1478	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.3	2.1	5.5	2.1	4.3	4.3	2.1	4.3	5.5	2.1	0.7	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1520	1055;2788;5609;9174;9213	True;True;True;True;True	1209;3135;3136;6302;10451;10503	9570;9571;24116;24117;24118;24119;24120;24121;24122;24123;47616;47617;47618;47619;47620;47621;47622;47623;47624;47625;47626;47627;47628;47629;47630;79377;79378;79379;79380;79381;79382;79383;79384;79385;79386;79387;79388;79389;79390;79391;79392;79393;79394;79395;79835;79836;79837;79838	6664;16846;16847;16848;16849;16850;16851;33789;33790;33791;33792;56052;56053;56054;56055;56056;56057;56058;56059;56060;56061;56062;56063;56064;56065;56066;56067;56068;56069;56439;56440	6664;16846;33789;56058;56440		3510;3511;3512;3513;3514;3515;3516;9534;9535;9536		390;746;747;757;758;761;762;766;902;903
Q14CW9	Q14CW9	1	1	1	Ataxin-7-like protein 3	ATXN7L3	>sp|Q14CW9|AT7L3_HUMAN Ataxin-7-like protein 3 OS=Homo sapiens OX=9606 GN=ATXN7L3 PE=1 SV=1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	5.2	5.2	5.2	38.651	347	347	0	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	5.2	0	5.2	5.2	5.2	5.2	5.2	5.2	5.2	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1521	5645	True	6346	47962;47963;47964;47965;47966;47967;47968;47969;47970	33977	33977		3517		281
Q14CZ0	Q14CZ0	1	1	1	UPF0472 protein C16orf72	C16orf72	>sp|Q14CZ0|CP072_HUMAN UPF0472 protein C16orf72 OS=Homo sapiens OX=9606 GN=C16orf72 PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	2.9	2.9	2.9	30.925	275	275	0.0093956	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	0	0	0	2.9	2.9	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1522	5839	True	6559	49581;49582;49583	34947	34947		3518		167
Q15003	Q15003	1	1	1	Condensin complex subunit 2	NCAPH	>sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1.1	1.1	1.1	82.562	741	741	0.0076336	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	0	0	0	1.1	1.1	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1523	5409	True	6070	45946;45947;45948	32574;32575	32575		3519		87
